crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10002,5,2,0,0,0,0,0,0,0,0,0,0,0,5,25.749999999999996
Crew_10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10005,6,0,0,0,0,0,0,0,0,0,0,0,0,3,18.1
Crew_10006,6,2,0,0,0,0,0,0,0,0,0,0,0,5,24.3
Crew_10007,3,0,0,0,0,0,0,0,0,0,0,0,0,3,17.46666666666667
Crew_10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10010,2,1,0,0,0,0,0,0,0,0,0,0,0,4,16.666666666666668
Crew_10011,2,1,0,0,0,0,0,0,0,0,0,0,0,3,15.416666666666668
Crew_10012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.033333333333333
Crew_10013,2,2,0,0,0,0,0,0,0,0,0,0,0,3,9.65
Crew_10014,5,2,0,0,0,0,0,0,0,0,0,0,0,5,31.83333333333333
Crew_10015,6,1,0,0,0,0,0,0,0,0,0,0,0,4,25.999999999999996
Crew_10016,7,0,0,0,0,0,0,0,0,0,0,0,0,4,23.11666666666667
Crew_10017,7,0,0,0,0,0,0,0,0,0,0,0,0,5,21.316666666666666
Crew_10019,2,0,0,0,0,0,0,0,0,0,0,0,0,5,33.1
Crew_10020,1,0,0,0,0,0,0,0,0,0,0,0,0,3,15.166666666666668
Crew_10021,1,3,0,0,0,0,0,0,0,0,0,0,0,3,14.233333333333334
Crew_10022,5,1,0,0,0,0,0,0,0,0,0,0,0,3,13.966666666666667
Crew_10023,2,1,0,0,0,0,0,0,0,0,0,0,0,5,36.25
Crew_10024,2,2,0,0,0,0,0,0,0,0,0,0,0,3,15.883333333333335
Crew_10025,5,0,0,0,0,0,0,0,0,0,0,0,0,3,16.766666666666666
Crew_10026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.683333333333334
Crew_10027,3,0,0,0,0,0,0,0,0,0,0,0,0,2,11.816666666666666
Crew_10028,5,2,0,0,0,0,0,0,0,0,0,0,0,5,27.133333333333333
Crew_10029,5,1,0,0,0,0,0,0,0,0,0,0,0,3,15.283333333333335
Crew_10030,5,0,0,0,0,0,0,0,0,0,0,0,0,5,33.650000000000006
Crew_10031,7,0,0,0,0,0,0,0,0,0,0,0,0,5,27.983333333333338
Crew_10032,1,2,0,0,0,0,0,0,0,0,0,0,0,1,7.449999999999999
Crew_10034,7,1,0,0,0,0,0,0,0,0,0,0,0,5,31.05
Crew_10035,7,0,0,0,0,0,0,0,0,0,0,0,0,5,24.083333333333336
Crew_10036,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7.883333333333333
Crew_10037,2,1,0,0,0,0,0,0,0,0,0,0,0,3,17.033333333333335
Crew_10038,3,2,0,0,0,0,0,0,0,0,0,0,0,3,18.816666666666666
Crew_10040,6,0,0,0,0,0,0,0,0,0,0,0,0,5,26.91666666666667
Crew_10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10042,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9.933333333333334
Crew_10043,4,3,0,0,0,0,0,0,0,0,1,0,0,1,6.85
Crew_10044,4,0,0,0,0,0,0,0,0,0,0,0,0,5,30.166666666666664
Crew_10045,6,0,0,0,0,0,0,0,0,0,0,0,0,4,23.46666666666667
Crew_10046,6,0,0,0,0,0,0,0,0,0,0,0,0,5,35.1
Crew_10047,5,1,0,0,0,0,0,0,0,0,0,0,0,5,29.599999999999998
Crew_10048,6,0,0,0,0,0,0,0,0,0,0,0,0,2,12.950000000000001
Crew_10050,4,0,0,0,0,0,0,0,0,0,0,0,0,3,21.083333333333332
Crew_10051,5,1,0,0,0,0,0,0,0,0,0,0,0,5,33.96666666666666
Crew_10052,7,5,0,0,0,0,0,0,0,0,0,0,0,4,26.983333333333334
Crew_10053,4,1,0,0,0,0,0,0,0,0,0,0,0,3,10.983333333333334
Crew_10054,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.733333333333334
Crew_10055,7,0,0,0,0,0,0,0,0,0,0,0,0,5,33.31666666666667
Crew_10056,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.199999999999999
Crew_10058,7,0,0,0,0,0,0,0,0,0,0,0,0,5,33.35
Crew_10059,7,0,0,0,0,0,0,0,0,0,0,0,0,5,18.916666666666664
Crew_10060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10063,7,0,0,0,0,0,0,0,0,0,0,0,0,5,30.366666666666667
Crew_10064,7,1,0,0,0,0,0,0,0,0,0,0,0,5,35.983333333333334
Crew_10065,5,1,0,0,0,0,0,0,0,0,0,0,0,5,27.383333333333336
Crew_10066,5,0,0,0,0,0,0,0,0,0,0,0,0,5,30.4
Crew_10067,2,2,0,0,0,0,0,0,0,0,0,0,0,3,14.299999999999999
Crew_10068,2,0,0,0,0,0,0,0,0,0,0,0,0,5,33.45
Crew_10069,6,0,0,0,0,0,0,0,0,0,0,0,0,5,28.233333333333334
Crew_10070,5,0,0,0,0,0,0,0,0,0,0,0,0,5,26.0
Crew_10071,6,1,0,0,0,0,0,0,0,0,0,0,0,5,26.28333333333333
Crew_10072,2,0,0,0,0,0,0,0,0,0,0,0,0,5,27.950000000000003
Crew_10073,6,0,0,0,0,0,0,0,0,0,0,0,0,5,29.249999999999993
