crewId,taskId,isDDH
Crew_10002,ddh_13231,1
Crew_10002,ddh_13602,1
Crew_10002,ddh_13778,1
Crew_10002,Flt_15910,0
Crew_10002,ddh_14114,1
Crew_10004,ddh_13073,1
Crew_10004,ddh_13826,1
Crew_10004,ddh_14053,1
Crew_10004,Flt_16229,0
Crew_10006,ddh_13029,1
Crew_10006,ddh_13726,1
Crew_10006,Flt_15900,0
Crew_10006,ddh_11044,1
Crew_10016,Flt_18970,0
Crew_10016,Flt_18932,0
Crew_10016,Flt_19629,0
Crew_10016,Flt_19632,0
Crew_10019,ddh_10766,1
Crew_10019,Flt_18908,0
Crew_10019,Flt_18906,0
Crew_10019,Flt_19647,0
Crew_10019,Flt_19663,0
Crew_10024,ddh_11566,1
Crew_10024,Flt_18363,0
Crew_10024,Flt_18361,0
Crew_10024,Flt_19120,0
Crew_10024,Flt_19119,0
Crew_10026,ddh_13769,1
Crew_10026,ddh_13325,1
Crew_10026,Flt_16736,0
Crew_10026,ddh_11145,1
Crew_10026,ddh_11865,1
Crew_10029,Flt_18177,0
Crew_10029,Flt_18173,0
Crew_10029,Flt_18171,0
Crew_10029,Flt_18170,0
Crew_10029,Flt_18925,0
Crew_10029,Flt_18921,0
Crew_10029,Flt_18920,0
Crew_10029,Flt_18953,0
Crew_10029,Flt_19696,0
Crew_10029,Flt_19519,0
Crew_10029,ddh_11419,1
Crew_10032,ddh_11432,1
Crew_10032,ddh_11662,1
Crew_10032,ddh_12013,1
Crew_10032,Flt_16024,0
Crew_10032,ddh_10834,1
Crew_10032,ddh_11745,1
Crew_10032,ddh_10245,1
Crew_10035,ddh_13409,1
Crew_10035,ddh_13461,1
Crew_10035,ddh_14074,1
Crew_10035,Flt_16008,0
Crew_10035,Flt_16731,0
Crew_10035,ddh_14192,1
Crew_10035,ddh_10105,1
Crew_10046,ddh_12550,1
Crew_10046,ddh_13356,1
Crew_10046,Flt_15528,0
Crew_10048,ddh_12966,1
Crew_10048,ddh_13734,1
Crew_10048,Flt_15422,0
Crew_10048,ddh_11044,1
Crew_10049,Flt_18390,0
Crew_10049,ddh_14273,1
Crew_10049,Flt_19470,0
Crew_10049,Flt_19735,0
Crew_10051,Flt_18344,0
Crew_10051,Flt_18343,0
Crew_10051,Flt_19596,0
Crew_10051,ddh_10409,1
Crew_10052,Flt_18157,0
Crew_10052,Flt_18728,0
Crew_10052,ddh_10247,1
Crew_10062,Flt_18977,0
Crew_10062,Flt_18864,0
Crew_10062,Flt_19472,0
Crew_10062,ddh_10538,1
Crew_10067,ddh_10747,1
Crew_10067,ddh_11627,1
Crew_10067,Flt_19622,0
Crew_10067,Flt_19624,0
Crew_10067,Flt_19957,0
Crew_10067,ddh_11049,1
Crew_10072,Flt_18967,0
Crew_10072,Flt_18958,0
Crew_10072,Flt_19657,0
Crew_10072,Flt_19654,0
Crew_10072,ddh_12259,1
Crew_10074,Flt_18201,0
Crew_10074,Flt_18785,0
Crew_10074,ddh_14335,1
Crew_10074,Flt_19670,0
Crew_10074,ddh_10389,1
Crew_10077,ddh_10537,1
Crew_10077,Flt_18631,0
Crew_10077,Flt_19074,0
Crew_10077,Flt_19073,0
Crew_10077,ddh_11749,1
Crew_10086,ddh_12550,1
Crew_10086,ddh_13466,1
Crew_10086,Flt_15642,0
Crew_10088,ddh_10546,1
Crew_10088,ddh_11796,1
Crew_10088,Flt_18951,0
Crew_10088,ddh_11727,1
Crew_10088,ddh_12528,1
Crew_10088,Flt_19241,0
Crew_10088,ddh_11099,1
Crew_10090,ddh_11741,1
Crew_10090,ddh_13489,1
Crew_10090,Flt_15906,0
Crew_10090,ddh_14115,1
Crew_10090,ddh_10784,1
Crew_10093,ddh_10345,1
Crew_10093,ddh_11246,1
Crew_10093,Flt_19646,0
Crew_10094,ddh_12714,1
Crew_10094,ddh_13864,1
Crew_10094,Flt_16010,0
Crew_10094,Flt_15643,0
Crew_10094,ddh_11434,1
Crew_10094,ddh_10674,1
Crew_10097,Flt_18895,0
Crew_10097,Flt_19692,0
Crew_10097,ddh_12419,1
Crew_10099,ddh_10272,1
Crew_10099,ddh_13853,1
Crew_10099,Flt_15728,0
Crew_10099,Flt_15725,0
Crew_10099,Flt_15721,0
Crew_10099,ddh_11794,1
