表名,内容,属性,释义
flight,"航班表
标识航班相关信息",id,航班ID
,,depaAirport,起飞机场
,,arriAirport,降落机场
,,std,起飞时间
,,sta,降落时间
,,fleet,机型
,,aircraftNo,机尾号
,,flyTime,经验飞行时间
groundDuty,"任务表
标识人员需要执行的占位任务",id,任务ID
,,crewId,人员ID
,,airport,机场
,,startTime,开始时间
,,endTime,结束时间
,,isDuty,“=1”为值勤占位，“=0”为休息占位
crew,"人员表
标识各人员相关信息",crewId,人员名称
,,base,人员基地
,,stayStation,任务开始前人员所在机场
busInfo,"大巴信息表
标识可供地面置位使用的大巴置位相关信息",id,大巴ID
,,depaAirport,出发机场
,,arriAirport,到达机场
,,td,出发时间
,,ta,到达时间
crewLegMatch,"人员-航班资质表
标识人员能够执勤哪些航班",crewId,人员ID
,,legId,航班ID
layoverStation,可过夜机场表,airport,可过夜机场
