id,crewId,airport,startTime,endTime,isDuty
Grd_1757_10000,Crew_10003,XALQ,2025/1/1 0:00,2025/1/1 23:59,0
Grd_1757_10001,Crew_10003,XALQ,2025/1/2 0:00,2025/1/2 23:59,0
Grd_1757_10002,Crew_10003,XALQ,2025/1/3 0:00,2025/1/3 23:59,0
Grd_1757_10003,Crew_10003,XALQ,2025/1/4 0:00,2025/1/4 23:59,0
Grd_1757_10004,Crew_10003,XALQ,2025/1/5 0:00,2025/1/5 23:59,0
Grd_1757_10005,Crew_10003,XALQ,2025/1/6 8:00,2025/1/6 18:00,1
Grd_1757_10006,Crew_10003,XALQ,2025/1/7 0:00,2025/1/7 23:59,0
Grd_1_10000,Crew_10004,XALQ,2025/1/1 0:00,2025/1/1 23:59,0
Grd_1_10001,Crew_10004,XALQ,2025/1/2 0:00,2025/1/2 23:59,0
Grd_1_10002,Crew_10004,XALQ,2025/1/3 8:00,2025/1/3 18:00,1
Grd_1_10003,Crew_10004,XALQ,2025/1/4 0:00,2025/1/4 23:59,0
Grd_1_10004,Crew_10004,XALQ,2025/1/5 0:00,2025/1/5 23:59,0
Grd_1_10005,Crew_10004,XALQ,2025/1/6 0:00,2025/1/6 23:59,0
Grd_1_10006,Crew_10004,XALQ,2025/1/7 0:00,2025/1/7 23:59,0
Grd_1764_10000,Crew_10007,XALQ,2025/1/1 8:00,2025/1/1 18:00,1
Grd_1652_10000,Crew_10008,JTZV,2025/1/1 8:00,2025/1/1 18:00,1
Grd_1652_10001,Crew_10008,JTZV,2025/1/2 8:00,2025/1/2 18:00,1
Grd_1652_10002,Crew_10008,JTZV,2025/1/3 8:00,2025/1/3 18:00,1
Grd_1652_10003,Crew_10008,JTZV,2025/1/4 8:00,2025/1/4 18:00,1
Grd_1652_10004,Crew_10008,JTZV,2025/1/5 8:00,2025/1/5 18:00,1
Grd_1652_10005,Crew_10008,JTZV,2025/1/6 8:00,2025/1/6 18:00,1
Grd_1652_10006,Crew_10008,JTZV,2025/1/7 8:00,2025/1/7 18:00,1
Grd_3_10000,Crew_10009,JTZV,2025/1/1 8:00,2025/1/1 18:00,1
Grd_3_10001,Crew_10009,JTZV,2025/1/2 8:00,2025/1/2 18:00,1
Grd_3_10002,Crew_10009,JTZV,2025/1/3 8:00,2025/1/3 18:00,1
Grd_3_10003,Crew_10009,JTZV,2025/1/4 0:00,2025/1/4 23:59,0
Grd_3_10004,Crew_10009,JTZV,2025/1/5 0:00,2025/1/5 23:59,0
Grd_3_10005,Crew_10009,JTZV,2025/1/6 8:00,2025/1/6 18:00,1
Grd_3_10006,Crew_10009,JTZV,2025/1/7 0:00,2025/1/7 23:59,0
Grd_1737_10000,Crew_10010,XALQ,2025/1/7 8:00,2025/1/7 18:00,1
Grd_2567_10000,Crew_10011,JTZV,2025/1/3 0:00,2025/1/3 23:59,0
Grd_2180_10000,Crew_10012,JTZV,2025/1/2 8:00,2025/1/2 18:00,1
Grd_2180_10001,Crew_10012,JTZV,2025/1/3 8:00,2025/1/3 18:00,1
Grd_2180_10002,Crew_10012,JTZV,2025/1/7 0:00,2025/1/7 23:59,0
