id,depaAirport,arriAirport,td,ta
ddh_10001,LMGE,XGOB,2025/02/02 00:05:00,2025/02/02 00:45:00
ddh_10002,NRTE,LMGE,2025/02/02 00:20:00,2025/02/02 05:00:00
ddh_10003,LMGE,GXSZ,2025/02/02 01:30:00,2025/02/02 11:50:00
ddh_10004,LMGE,JDTH,2025/02/02 01:30:00,2025/02/02 11:45:00
ddh_10005,LMGE,ACCS,2025/02/02 01:35:00,2025/02/02 13:45:00
ddh_10006,LMGE,JHFU,2025/02/02 01:40:00,2025/02/02 12:25:00
ddh_10007,LMGE,FDVK,2025/02/02 01:45:00,2025/02/02 12:45:00
ddh_10008,CCWQ,LMGE,2025/02/02 02:30:00,2025/02/02 09:00:00
ddh_10009,QRYN,LMGE,2025/02/02 02:55:00,2025/02/02 11:05:00
ddh_10010,LMGE,ZTNY,2025/02/02 05:00:00,2025/02/02 14:00:00
ddh_10011,XGOB,MHNT,2025/02/02 05:00:00,2025/02/02 09:30:00
ddh_10012,SNFR,LMGE,2025/02/02 05:15:00,2025/02/02 08:10:00
ddh_10013,LMGE,RPOM,2025/02/02 08:25:00,2025/02/02 14:05:00
ddh_10014,XGOB,WZBQ,2025/02/02 06:30:00,2025/02/02 09:10:00
ddh_10015,XGOB,WZBQ,2025/02/02 07:30:00,2025/02/02 10:15:00
ddh_10016,XGOB,JFWS,2025/02/02 07:30:00,2025/02/02 10:05:00
ddh_10017,XGOB,MBMY,2025/02/02 08:05:00,2025/02/02 11:00:00
ddh_10018,MBMY,HEYQ,2025/02/02 08:05:00,2025/02/02 10:40:00
ddh_10019,MBMY,UQLN,2025/02/02 08:20:00,2025/02/02 10:45:00
ddh_10020,LMGE,IDKG,2025/02/02 08:35:00,2025/02/02 12:20:00
ddh_10021,LMGE,CXOJ,2025/02/02 09:15:00,2025/02/02 13:00:00
ddh_10022,LMGE,RENC,2025/02/02 09:35:00,2025/02/02 14:10:00
ddh_10023,DSXP,LMGE,2025/02/02 10:00:00,2025/02/02 13:35:00
ddh_10024,WZBQ,XGOB,2025/02/02 10:25:00,2025/02/02 13:45:00
ddh_10025,JFWS,XGOB,2025/02/02 11:15:00,2025/02/02 13:10:00
ddh_10026,MHNT,WMJO,2025/02/02 11:30:00,2025/02/02 18:40:00
ddh_10027,LMGE,WZBQ,2025/02/02 11:30:00,2025/02/02 14:10:00
ddh_10028,WZBQ,XGOB,2025/02/02 11:40:00,2025/02/02 14:40:00
ddh_10029,HEYQ,MBMY,2025/02/02 11:50:00,2025/02/02 14:45:00
ddh_10030,UQLN,CXOJ,2025/02/02 12:00:00,2025/02/02 16:00:00
ddh_10031,MBMY,XGOB,2025/02/02 12:10:00,2025/02/02 14:45:00
ddh_10032,IDKG,LMGE,2025/02/02 13:30:00,2025/02/02 17:50:00
ddh_10033,CXOJ,LMGE,2025/02/02 14:10:00,2025/02/02 17:40:00
ddh_10034,XGOB,JFWS,2025/02/02 14:30:00,2025/02/02 17:15:00
ddh_10035,LMGE,VTIR,2025/02/02 14:35:00,2025/02/02 18:20:00
ddh_10036,XGOB,MBMY,2025/02/02 15:05:00,2025/02/02 17:30:00
ddh_10037,ZTNY,PCHL,2025/02/02 15:30:00,2025/02/02 18:00:00
ddh_10038,WZBQ,LMGE,2025/02/02 15:30:00,2025/02/02 18:20:00
ddh_10039,RENC,LMGE,2025/02/02 15:40:00,2025/02/02 21:45:00
ddh_10040,RPOM,LMGE,2025/02/02 16:05:00,2025/02/02 20:35:00
ddh_10041,XGOB,FRMU,2025/02/02 16:15:00,2025/02/02 18:35:00
ddh_10042,LMGE,QRYN,2025/02/02 16:30:00,2025/02/03 01:00:00
ddh_10043,LMGE,WZBQ,2025/02/02 16:30:00,2025/02/02 19:00:00
ddh_10044,MBMY,WZBQ,2025/02/02 16:40:00,2025/02/02 20:40:00
ddh_10045,XGOB,OEQY,2025/02/02 17:05:00,2025/02/02 19:25:00
ddh_10046,CXOJ,UQLN,2025/02/02 17:50:00,2025/02/02 21:55:00
ddh_10047,JHFU,LMGE,2025/02/02 17:50:00,2025/02/03 05:00:00
ddh_10048,ACCS,LMGE,2025/02/02 18:20:00,2025/02/03 05:10:00
ddh_10049,JFWS,XGOB,2025/02/02 18:20:00,2025/02/02 20:15:00
ddh_10050,JDTH,LMGE,2025/02/02 18:30:00,2025/02/03 05:10:00
ddh_10051,MBMY,XGOB,2025/02/02 18:40:00,2025/02/02 21:25:00
ddh_10052,VTIR,LMGE,2025/02/02 19:20:00,2025/02/03 00:05:00
ddh_10053,FRMU,XGOB,2025/02/02 19:50:00,2025/02/02 22:25:00
ddh_10054,FDVK,LMGE,2025/02/02 20:00:00,2025/02/03 05:20:00
ddh_10055,WZBQ,LMGE,2025/02/02 20:15:00,2025/02/02 23:00:00
ddh_10056,GXSZ,LMGE,2025/02/02 20:30:00,2025/02/03 05:15:00
ddh_10057,PCHL,LMGE,2025/02/02 20:45:00,2025/02/03 06:55:00
ddh_10058,OEQY,XGOB,2025/02/02 20:45:00,2025/02/02 23:20:00
ddh_10059,WMJO,LMGE,2025/02/02 21:10:00,2025/02/03 06:55:00
ddh_10060,WZBQ,MBMY,2025/02/02 21:55:00,2025/02/03 01:55:00
ddh_10061,LMGE,XNEP,2025/02/02 22:30:00,2025/02/03 11:30:00
ddh_10062,UQLN,MBMY,2025/02/02 23:10:00,2025/02/03 01:30:00
ddh_10063,LMGE,WIGY,2025/02/02 00:35:00,2025/02/02 13:00:00
ddh_10064,LMGE,XGOB,2025/02/03 00:05:00,2025/02/03 00:45:00
ddh_10065,LMGE,ZTNY,2025/02/03 00:55:00,2025/02/03 09:55:00
ddh_10066,LMGE,GXSZ,2025/02/03 01:30:00,2025/02/03 11:50:00
ddh_10067,LMGE,JHFU,2025/02/03 01:40:00,2025/02/03 12:25:00
ddh_10068,LMGE,FDVK,2025/02/03 01:45:00,2025/02/03 12:45:00
ddh_10069,QRYN,LMGE,2025/02/03 02:55:00,2025/02/03 11:05:00
ddh_10070,LMGE,XCIL,2025/02/03 10:00:00,2025/02/03 15:10:00
ddh_10071,XGOB,MHNT,2025/02/03 05:55:00,2025/02/03 10:25:00
ddh_10072,XGOB,WZBQ,2025/02/03 06:30:00,2025/02/03 09:10:00
ddh_10073,XGOB,WZBQ,2025/02/03 07:30:00,2025/02/03 10:15:00
ddh_10074,XGOB,JFWS,2025/02/03 07:30:00,2025/02/03 10:05:00
ddh_10075,LMGE,FRMU,2025/02/03 08:00:00,2025/02/03 10:25:00
ddh_10076,LMGE,JFWS,2025/02/03 08:00:00,2025/02/03 10:45:00
ddh_10077,XGOB,MBMY,2025/02/03 08:05:00,2025/02/03 11:00:00
ddh_10078,MBMY,HEYQ,2025/02/03 08:05:00,2025/02/03 10:40:00
ddh_10079,MBMY,UQLN,2025/02/03 08:20:00,2025/02/03 10:45:00
ddh_10080,LMGE,RENC,2025/02/03 09:35:00,2025/02/03 14:10:00
ddh_10081,WZBQ,XGOB,2025/02/03 10:25:00,2025/02/03 13:45:00
ddh_10082,JFWS,XGOB,2025/02/03 11:15:00,2025/02/03 13:10:00
ddh_10083,ZTNY,PCHL,2025/02/03 11:25:00,2025/02/03 13:55:00
ddh_10084,LMGE,WZBQ,2025/02/03 11:30:00,2025/02/03 14:10:00
ddh_10085,WZBQ,XGOB,2025/02/03 11:40:00,2025/02/03 14:40:00
ddh_10086,HEYQ,MBMY,2025/02/03 11:50:00,2025/02/03 14:45:00
ddh_10087,JFWS,LMGE,2025/02/03 11:50:00,2025/02/03 14:05:00
ddh_10088,LMGE,PSDO,2025/02/03 14:50:00,2025/02/03 19:55:00
ddh_10089,FRMU,LMGE,2025/02/03 11:55:00,2025/02/03 14:15:00
ddh_10090,UQLN,CXOJ,2025/02/03 12:00:00,2025/02/03 16:00:00
ddh_10091,MBMY,XGOB,2025/02/03 12:10:00,2025/02/03 14:45:00
ddh_10092,MHNT,GFTW,2025/02/03 12:25:00,2025/02/03 18:35:00
ddh_10093,XNEP,SNFR,2025/02/03 13:30:00,2025/02/04 04:15:00
ddh_10094,XGOB,JFWS,2025/02/03 14:30:00,2025/02/03 17:15:00
ddh_10095,LMGE,VTIR,2025/02/03 14:35:00,2025/02/03 18:20:00
ddh_10096,XGOB,MBMY,2025/02/03 15:05:00,2025/02/03 17:30:00
ddh_10097,WZBQ,LMGE,2025/02/03 15:30:00,2025/02/03 18:35:00
ddh_10098,RENC,LMGE,2025/02/03 15:40:00,2025/02/03 21:45:00
ddh_10099,LMGE,CCWQ,2025/02/03 16:05:00,2025/02/04 00:30:00
ddh_10100,XGOB,FRMU,2025/02/03 16:15:00,2025/02/03 18:35:00
ddh_10101,PCHL,LMGE,2025/02/03 16:25:00,2025/02/04 02:50:00
ddh_10102,LMGE,DRHC,2025/02/03 16:30:00,2025/02/04 01:20:00
ddh_10103,LMGE,QRYN,2025/02/03 16:30:00,2025/02/04 01:00:00
ddh_10104,LMGE,WZBQ,2025/02/03 16:30:00,2025/02/03 19:00:00
ddh_10105,MBMY,WZBQ,2025/02/03 16:40:00,2025/02/03 20:40:00
ddh_10106,XGOB,OEQY,2025/02/03 17:05:00,2025/02/03 19:25:00
ddh_10107,XCIL,LMGE,2025/02/03 17:10:00,2025/02/03 21:20:00
ddh_10108,CXOJ,UQLN,2025/02/03 17:50:00,2025/02/03 21:55:00
ddh_10109,JHFU,LMGE,2025/02/03 17:50:00,2025/02/04 05:00:00
ddh_10110,JFWS,XGOB,2025/02/03 18:20:00,2025/02/03 20:15:00
ddh_10111,JDTH,LMGE,2025/02/03 18:30:00,2025/02/04 05:10:00
ddh_10112,MBMY,XGOB,2025/02/03 18:40:00,2025/02/03 21:25:00
ddh_10113,VTIR,LMGE,2025/02/03 19:20:00,2025/02/04 00:05:00
ddh_10114,FRMU,XGOB,2025/02/03 19:50:00,2025/02/03 22:25:00
ddh_10115,FDVK,LMGE,2025/02/03 20:00:00,2025/02/04 05:20:00
ddh_10116,WZBQ,LMGE,2025/02/03 20:15:00,2025/02/03 23:00:00
ddh_10117,GXSZ,LMGE,2025/02/03 20:30:00,2025/02/04 05:15:00
ddh_10118,GFTW,WMJO,2025/02/03 20:35:00,2025/02/03 21:35:00
ddh_10119,OEQY,XGOB,2025/02/03 20:45:00,2025/02/03 23:20:00
ddh_10120,WZBQ,MBMY,2025/02/03 21:55:00,2025/02/04 01:55:00
ddh_10121,PSDO,XGOB,2025/02/03 22:00:00,2025/02/04 02:00:00
ddh_10122,UQLN,MBMY,2025/02/03 23:10:00,2025/02/04 01:30:00
ddh_10123,WMJO,LMGE,2025/02/03 23:35:00,2025/02/04 09:45:00
ddh_10124,LMGE,TFKN,2025/02/04 01:00:00,2025/02/04 12:45:00
