crewId,base,stayStation
Crew_10002,MBMY,XGOB
Crew_10003,UQLN,UQLN
Crew_10004,UQLN,UQLN
Crew_10006,UQLN,LXHP
Crew_10007,UQLN,FRMU
Crew_10008,UQLN,UQLN
Crew_10009,XGOB,XGOB
Crew_10010,XGOB,XGOB
Crew_10011,UQLN,UQLN
Crew_10013,XGOB,MBMY
Crew_10014,XGOB,XGOB
Crew_10015,XGOB,XGOB
Crew_10016,VBKF,VBKF
Crew_10018,XGOB,UQLN
Crew_10019,GRIG,GRIG
Crew_10020,UQLN,UQLN
Crew_10022,XGOB,XGOB
Crew_10023,GRIG,GRIG
Crew_10024,XGOB,HMAL
Crew_10025,XGOB,XGOB
Crew_10026,UQLN,UQLN
Crew_10027,XGOB,XGOB
Crew_10028,XGOB,XGOB
Crew_10029,XGOB,XGOB
Crew_10030,XGOB,XGOB
Crew_10031,XGOB,XGOB
Crew_10032,UQLN,UQLN
Crew_10033,UQLN,UQLN
Crew_10034,UQLN,UQLN
Crew_10035,UQLN,VSBC
Crew_10037,WZBQ,XGOB
Crew_10038,UQLN,LUKE
Crew_10040,XGOB,XGOB
Crew_10041,XGOB,VTIR
Crew_10043,UQLN,UQLN
Crew_10044,XGOB,XGOB
Crew_10045,GRIG,GRIG
Crew_10046,XGOB,XGOB
Crew_10047,UQLN,UQLN
Crew_10048,UQLN,UQLN
Crew_10049,XGOB,VTIR
Crew_10050,XGOB,XGOB
Crew_10051,XGOB,FWCS
Crew_10052,UQLN,UQLN
Crew_10053,GRIG,GRIG
Crew_10054,XGOB,HMAL
Crew_10055,UQLN,XGOB
Crew_10056,XGOB,XGOB
Crew_10057,UQLN,UQLN
Crew_10059,UQLN,UQLN
Crew_10060,GRIG,FRMU
Crew_10061,GRIG,VTIR
Crew_10062,UQLN,UQLN
Crew_10064,XGOB,XGOB
Crew_10065,UQLN,UQLN
Crew_10066,UQLN,UQLN
Crew_10067,XGOB,XGOB
Crew_10068,XGOB,XGOB
Crew_10069,GRIG,XGOB
Crew_10070,UQLN,UQLN
Crew_10071,VBKF,VBKF
Crew_10072,XGOB,CXOJ
Crew_10073,VBKF,VBKF
Crew_10074,UQLN,UQLN
Crew_10075,UQLN,UQLN
Crew_10076,XGOB,XGOB
Crew_10077,XGOB,XGOB
Crew_10078,GRIG,GRIG
Crew_10079,GRIG,GRIG
Crew_10080,UQLN,UQLN
Crew_10081,UQLN,UQLN
Crew_10084,XGOB,XGOB
Crew_10085,XGOB,XGOB
Crew_10086,XGOB,XGOB
Crew_10087,XGOB,XGOB
Crew_10088,GRIG,GRIG
Crew_10089,XGOB,SNFR
Crew_10090,VBKF,VBKF
Crew_10091,WZBQ,WZBQ
Crew_10092,UQLN,UQLN
Crew_10093,XGOB,CXOJ
Crew_10094,UQLN,UQLN
Crew_10095,CXOJ,CXOJ
Crew_10096,GRIG,GRIG
Crew_10097,UQLN,VTIR
Crew_10100,UQLN,UQLN
Crew_10101,XGOB,XGOB
Crew_10102,UQLN,UQLN
Crew_10103,XGOB,XGOB
Crew_10104,UQLN,UQLN
Crew_10105,UQLN,UQLN
Crew_10106,UQLN,UQLN
Crew_10107,XGOB,XGOB
Crew_10108,XGOB,XGOB
Crew_10109,XGOB,XGOB
Crew_10110,UQLN,UQLN
Crew_10111,XGOB,XGOB
Crew_10112,GRIG,VTIR
Crew_10113,XGOB,XGOB
Crew_10114,VBKF,GRIG
Crew_10115,VBKF,VBKF
Crew_10116,XGOB,XGOB
Crew_10117,UQLN,UQLN
Crew_10120,UQLN,UQLN
Crew_10121,GRIG,GRIG
Crew_10122,GRIG,GRIG
Crew_10123,GRIG,GRIG
Crew_10124,SNFR,SNFR
Crew_10125,XGOB,XGOB
Crew_10126,XGOB,XGOB
Crew_10127,XGOB,XGOB
Crew_10128,XGOB,XGOB
Crew_10129,XGOB,LXHP
Crew_10130,XGOB,XGOB
Crew_10132,UQLN,UQLN
Crew_10133,UQLN,UQLN
Crew_10136,XGOB,CXOJ
Crew_10137,XGOB,XGOB
Crew_10138,UQLN,UQLN
Crew_10140,XGOB,XGOB
Crew_10141,UQLN,UQLN
Crew_10142,XGOB,XGOB
Crew_10143,XGOB,XGOB
Crew_10144,UQLN,UQLN
Crew_10145,GRIG,GRIG
Crew_10146,XGOB,XGOB
Crew_10147,UQLN,UQLN
Crew_10148,XGOB,XGOB
Crew_10150,XGOB,XGOB
Crew_10151,SNFR,SNFR
Crew_10152,UQLN,FRMU
Crew_10153,VBKF,VBKF
Crew_10154,UQLN,UQLN
Crew_10155,UQLN,UQLN
Crew_10157,SNFR,SNFR
Crew_10158,VBKF,VBKF
Crew_10160,XGOB,XGOB
Crew_10161,CXOJ,CXOJ
Crew_10162,UQLN,HMAL
Crew_10163,UQLN,UQLN
Crew_10164,XGOB,XGOB
Crew_10165,XGOB,XGOB
Crew_10167,XGOB,XGOB
Crew_10168,GRIG,GRIG
Crew_10169,UQLN,UQLN
Crew_10170,XGOB,XGOB
Crew_10171,UQLN,UQLN
Crew_10172,XGOB,XGOB
Crew_10173,XGOB,MBMY
Crew_10174,GRIG,GRIG
Crew_10176,GRIG,GRIG
Crew_10177,UQLN,VTIR
Crew_10179,XGOB,XGOB
Crew_10180,UQLN,VTIR
