id,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_37692,ZGPT,HMAL,2025/02/02 17:30:00,2025/02/02 19:35:00,321,Aft_10001,125
Flt_37693,HMAL,ZGPT,2025/02/02 13:30:00,2025/02/02 16:00:00,321,Aft_10001,130
Flt_37694,WZBQ,MBMY,2025/02/02 06:00:00,2025/02/02 09:35:00,321,Aft_10002,228
Flt_37695,XGOB,CYBH,2025/02/02 06:00:00,2025/02/02 08:40:00,321,Aft_10003,144
Flt_37696,XGOB,FFJA,2025/02/02 06:00:00,2025/02/02 08:15:00,321,Aft_10004,133
Flt_37697,GRIG,EYCX,2025/02/02 06:20:00,2025/02/02 09:05:00,320,Aft_10005,154
Flt_37698,UQLN,EVWP,2025/02/02 06:20:00,2025/02/02 08:20:00,321,Aft_10006,115
Flt_37699,SNFR,HMAL,2025/02/02 06:25:00,2025/02/02 09:20:00,320,Aft_10007,171
Flt_37700,XGOB,VSBC,2025/02/02 06:25:00,2025/02/02 09:05:00,321,Aft_10008,131
Flt_37701,XGOB,DEPY,2025/02/02 06:25:00,2025/02/02 07:50:00,319,Aft_10009,74
Flt_37702,SNFR,ZWIO,2025/02/02 06:25:00,2025/02/02 09:15:00,320,Aft_10010,169
Flt_37703,FRMU,XGOB,2025/02/02 06:25:00,2025/02/02 08:50:00,321,Aft_10011,142
Flt_37704,MBMY,CLVM,2025/02/02 06:25:00,2025/02/02 08:50:00,320,Aft_10012,134
Flt_37705,MBMY,VORI,2025/02/02 06:30:00,2025/02/02 08:30:00,321,Aft_10013,121
Flt_37706,UQLN,DDCZ,2025/02/02 06:30:00,2025/02/02 08:40:00,321,Aft_10014,114
Flt_37707,GRIG,VBKF,2025/02/02 06:30:00,2025/02/02 08:45:00,320,Aft_10015,132
Flt_37708,JDEH,XGOB,2025/02/02 06:30:00,2025/02/02 09:25:00,321,Aft_10016,191
Flt_37709,VTIR,XLXE,2025/02/02 06:35:00,2025/02/02 09:50:00,321,Aft_10017,177
Flt_37710,GRIG,UQLN,2025/02/02 06:35:00,2025/02/02 08:20:00,320,Aft_10018,88
Flt_37711,XGOB,IZUZ,2025/02/02 06:40:00,2025/02/02 08:20:00,319,Aft_10019,83
Flt_37712,UQLN,LXHP,2025/02/02 06:45:00,2025/02/02 08:50:00,320,Aft_10020,119
Flt_37713,UQLN,FRMU,2025/02/02 06:50:00,2025/02/02 09:05:00,321,Aft_10021,120
Flt_37714,UQLN,CILH,2025/02/02 06:50:00,2025/02/02 09:05:00,321,Aft_10022,109
Flt_37715,WZBQ,IAWP,2025/02/02 06:50:00,2025/02/02 09:40:00,320,Aft_10023,164
Flt_37716,XGOB,IDKG,2025/02/02 06:50:00,2025/02/02 10:30:00,321,Aft_10024,199
Flt_37717,CXOJ,XGOB,2025/02/02 06:55:00,2025/02/02 10:35:00,321,Aft_10025,209
Flt_37718,UQLN,WZBQ,2025/02/02 06:55:00,2025/02/02 09:10:00,321,Aft_10026,152
Flt_37719,UQLN,HMAL,2025/02/02 06:55:00,2025/02/02 08:45:00,320,Aft_10027,102
Flt_37720,GRIG,OEQY,2025/02/02 06:55:00,2025/02/02 08:45:00,320,Aft_10028,111
Flt_37721,XGOB,OMLA,2025/02/02 06:55:00,2025/02/02 09:10:00,320,Aft_10029,126
Flt_37722,VTIR,CYBH,2025/02/02 06:55:00,2025/02/02 09:50:00,321,Aft_10030,178
Flt_37723,VTIR,CEUN,2025/02/02 06:55:00,2025/02/02 09:45:00,321,Aft_10031,162
Flt_37724,OEQY,XGOB,2025/02/02 06:55:00,2025/02/02 09:30:00,321,Aft_10032,138
Flt_37725,WZBQ,XGOB,2025/02/02 06:55:00,2025/02/02 10:00:00,321,Aft_10033,181
Flt_37726,LUKE,FRMU,2025/02/02 07:00:00,2025/02/02 09:15:00,320,Aft_10034,134
Flt_37727,UQLN,VSBC,2025/02/02 07:00:00,2025/02/02 08:55:00,321,Aft_10035,118
Flt_37728,JDEH,VSBC,2025/02/02 07:00:00,2025/02/02 10:40:00,321,Aft_10036,232
Flt_37729,LXHP,ERHL,2025/02/02 07:00:00,2025/02/02 11:00:00,320,Aft_10037,220
Flt_37730,XGOB,SNFR,2025/02/02 07:00:00,2025/02/02 09:35:00,321,Aft_10038,146
Flt_37731,VTIR,LXHP,2025/02/02 07:00:00,2025/02/02 09:35:00,320,Aft_10039,152
Flt_37732,GRIG,LXHP,2025/02/02 07:00:00,2025/02/02 09:50:00,320,Aft_10040,183
Flt_37733,XGOB,VTIR,2025/02/02 07:00:00,2025/02/02 10:40:00,321,Aft_10041,217
Flt_37734,UQLN,VTIR,2025/02/02 07:00:00,2025/02/02 10:25:00,321,Aft_10042,229
Flt_37735,XGOB,OEQY,2025/02/02 07:05:00,2025/02/02 09:35:00,321,Aft_10043,131
Flt_37736,UQLN,NMPZ,2025/02/02 07:05:00,2025/02/02 09:05:00,320,Aft_10044,144
Flt_37737,GRIG,XBQP,2025/02/02 07:05:00,2025/02/02 09:35:00,320,Aft_10045,138
Flt_37738,MBMY,LXHP,2025/02/02 07:05:00,2025/02/02 10:30:00,321,Aft_10046,200
Flt_37739,CXOJ,PIEK,2025/02/02 07:10:00,2025/02/02 10:35:00,320,Aft_10047,193
Flt_37740,UQLN,OEQY,2025/02/02 07:10:00,2025/02/02 09:15:00,320,Aft_10048,132
Flt_37741,VTIR,VBRA,2025/02/02 07:10:00,2025/02/02 10:50:00,320,Aft_10049,216
Flt_37742,VTIR,MBMY,2025/02/02 07:10:00,2025/02/02 12:45:00,321,Aft_10050,320
Flt_37743,VTIR,VBKF,2025/02/02 07:10:00,2025/02/02 11:05:00,320,Aft_10051,225
Flt_37744,XGOB,GRIG,2025/02/02 07:10:00,2025/02/02 08:55:00,320,Aft_10052,84
Flt_37745,UQLN,SNFR,2025/02/02 07:10:00,2025/02/02 09:15:00,321,Aft_10053,147
Flt_37746,FRMU,UQLN,2025/02/02 07:10:00,2025/02/02 09:10:00,320,Aft_10054,134
Flt_37747,GRIG,XGOB,2025/02/02 07:10:00,2025/02/02 08:40:00,320,Aft_10055,79
Flt_37748,GRIG,HEYQ,2025/02/02 07:15:00,2025/02/02 09:55:00,320,Aft_10056,151
Flt_37749,UQLN,CYBH,2025/02/02 07:15:00,2025/02/02 09:30:00,321,Aft_10057,152
Flt_37750,UQLN,JFWS,2025/02/02 07:15:00,2025/02/02 10:20:00,319,Aft_10058,187
Flt_37751,XGOB,MVFV,2025/02/02 07:15:00,2025/02/02 10:25:00,321,Aft_10059,179
Flt_37752,XGOB,VORI,2025/02/02 07:20:00,2025/02/02 09:25:00,320,Aft_10060,107
Flt_37753,VBKF,AIZY,2025/02/02 07:20:00,2025/02/02 10:15:00,319,Aft_10061,187
Flt_37754,JDEH,XGOB,2025/02/02 07:20:00,2025/02/02 10:35:00,321,Aft_10062,189
Flt_37755,XGOB,SHIS,2025/02/02 07:25:00,2025/02/02 09:40:00,320,Aft_10063,110
Flt_37756,VTIR,EYCX,2025/02/02 07:25:00,2025/02/02 10:40:00,320,Aft_10064,189
Flt_37757,XGOB,PKEY,2025/02/02 07:25:00,2025/02/02 09:15:00,321,Aft_10065,107
Flt_37758,XGOB,IZUZ,2025/02/02 07:25:00,2025/02/02 09:05:00,319,Aft_10066,83
Flt_37759,GRIG,CEUN,2025/02/02 07:25:00,2025/02/02 10:10:00,320,Aft_10067,159
Flt_37760,MBMY,PIEK,2025/02/02 07:25:00,2025/02/02 09:50:00,320,Aft_10068,141
Flt_37761,XGOB,AIZY,2025/02/02 07:25:00,2025/02/02 09:30:00,319,Aft_10069,128
Flt_37762,CXOJ,XGOB,2025/02/02 07:25:00,2025/02/02 11:20:00,320,Aft_10070,228
Flt_37763,VTIR,XGOB,2025/02/02 07:25:00,2025/02/02 11:55:00,320,Aft_10071,267
Flt_37764,LUKE,XGOB,2025/02/02 07:30:00,2025/02/02 08:35:00,320,Aft_10072,65
Flt_37765,LXHP,XGOB,2025/02/02 07:35:00,2025/02/02 10:15:00,320,Aft_10073,168
Flt_37766,WZBQ,FIHQ,2025/02/02 07:40:00,2025/02/02 09:50:00,320,Aft_10074,121
Flt_37767,XGOB,ERHL,2025/02/02 07:40:00,2025/02/02 09:40:00,320,Aft_10075,103
Flt_37768,SNFR,IAWP,2025/02/02 07:40:00,2025/02/02 10:40:00,320,Aft_10076,186
Flt_37769,SNFR,XGOB,2025/02/02 07:40:00,2025/02/02 10:55:00,320,Aft_10077,207
Flt_37770,XGOB,URTH,2025/02/02 07:45:00,2025/02/02 09:45:00,320,Aft_10078,110
Flt_37771,XGOB,ELBQ,2025/02/02 07:45:00,2025/02/02 09:45:00,319,Aft_10079,111
Flt_37772,SNFR,FRMU,2025/02/02 07:50:00,2025/02/02 10:15:00,321,Aft_10080,136
Flt_37773,SNFR,IXQM,2025/02/02 07:50:00,2025/02/02 11:10:00,320,Aft_10081,204
Flt_37774,VTIR,CYBH,2025/02/02 07:50:00,2025/02/02 11:25:00,321,Aft_10082,190
Flt_37775,VBKF,EQTC,2025/02/02 07:50:00,2025/02/02 09:50:00,320,Aft_10083,108
Flt_37776,XGOB,ISAX,2025/02/02 07:50:00,2025/02/02 10:25:00,320,Aft_10084,128
Flt_37777,GRIG,XGOB,2025/02/02 07:50:00,2025/02/02 09:10:00,320,Aft_10085,79
Flt_37778,XGOB,MKHW,2025/02/02 07:55:00,2025/02/02 10:00:00,320,Aft_10086,108
Flt_37779,XGOB,SRNH,2025/02/02 07:55:00,2025/02/02 09:55:00,320,Aft_10087,109
Flt_37780,CLVM,VORI,2025/02/02 07:55:00,2025/02/02 09:25:00,320,Aft_10088,101
Flt_37781,XGOB,LXHP,2025/02/02 07:55:00,2025/02/02 10:20:00,320,Aft_10089,139
Flt_37782,UQLN,NQQU,2025/02/02 07:55:00,2025/02/02 10:05:00,320,Aft_10090,133
Flt_37783,XGOB,AIZY,2025/02/02 07:55:00,2025/02/02 10:10:00,319,Aft_10091,142
Flt_37784,HMAL,XGOB,2025/02/02 07:55:00,2025/02/02 09:55:00,320,Aft_10092,119
Flt_37785,CXOJ,CLVM,2025/02/02 08:00:00,2025/02/02 11:25:00,320,Aft_10093,205
Flt_37786,XGOB,FRMU,2025/02/02 08:00:00,2025/02/02 10:25:00,321,Aft_10094,120
Flt_37787,XGOB,CYBH,2025/02/02 08:00:00,2025/02/02 10:40:00,321,Aft_10095,143
Flt_37788,XGOB,JFWS,2025/02/02 08:00:00,2025/02/02 10:45:00,319,Aft_10096,179
Flt_37789,SNFR,CLVM,2025/02/02 08:00:00,2025/02/02 11:10:00,319,Aft_10097,198
Flt_37790,UQLN,MVFV,2025/02/02 08:00:00,2025/02/02 11:05:00,320,Aft_10098,177
Flt_37791,VTIR,OMLA,2025/02/02 08:05:00,2025/02/02 11:10:00,320,Aft_10099,178
Flt_37792,UQLN,WAVK,2025/02/02 08:05:00,2025/02/02 09:45:00,319,Aft_10100,105
Flt_37793,OEQY,XGOB,2025/02/02 08:05:00,2025/02/02 10:30:00,320,Aft_10101,152
Flt_37794,VBKF,PIEK,2025/02/02 08:10:00,2025/02/02 10:00:00,320,Aft_10102,98
Flt_37795,XGOB,CXOJ,2025/02/02 08:15:00,2025/02/02 11:40:00,321,Aft_10103,220
Flt_37796,XGOB,VSBC,2025/02/02 08:15:00,2025/02/02 10:35:00,320,Aft_10104,128
Flt_37797,SNFR,DEPY,2025/02/02 08:15:00,2025/02/02 11:30:00,320,Aft_10105,201
Flt_37798,XGOB,XLXE,2025/02/02 08:15:00,2025/02/02 10:35:00,321,Aft_10106,133
Flt_37799,UQLN,JFWS,2025/02/02 08:15:00,2025/02/02 11:20:00,319,Aft_10107,188
Flt_37800,SNFR,PIEK,2025/02/02 08:20:00,2025/02/02 11:25:00,319,Aft_10108,188
Flt_37801,LXHP,XGOB,2025/02/02 08:20:00,2025/02/02 11:00:00,321,Aft_10109,178
Flt_37802,XGOB,AGEE,2025/02/02 08:20:00,2025/02/02 11:35:00,319,Aft_10110,171
Flt_37803,XGOB,PADI,2025/02/02 08:25:00,2025/02/02 11:20:00,320,Aft_10111,142
Flt_37804,XGOB,JFWS,2025/02/02 08:30:00,2025/02/02 11:05:00,319,Aft_10112,161
Flt_37805,WZBQ,XGOB,2025/02/02 08:30:00,2025/02/02 11:35:00,320,Aft_10113,186
Flt_37806,XGOB,OSYY,2025/02/02 08:35:00,2025/02/02 10:40:00,321,Aft_10114,114
Flt_37807,XGOB,XBQP,2025/02/02 08:35:00,2025/02/02 11:20:00,321,Aft_10115,147
Flt_37808,XGOB,WQLS,2025/02/02 08:35:00,2025/02/02 10:00:00,319,Aft_10116,88
Flt_37809,VBKF,JFWS,2025/02/02 08:35:00,2025/02/02 12:10:00,319,Aft_10117,216
Flt_37810,XGOB,CZCU,2025/02/02 08:35:00,2025/02/02 12:40:00,321,Aft_10118,237
Flt_37811,XGOB,EYCX,2025/02/02 08:40:00,2025/02/02 10:40:00,321,Aft_10119,116
Flt_37812,XGOB,GUZT,2025/02/02 08:40:00,2025/02/02 10:10:00,319,Aft_10120,87
Flt_37813,DEPY,XGOB,2025/02/02 08:40:00,2025/02/02 10:15:00,319,Aft_10009,88
Flt_37814,GRIG,NJCK,2025/02/02 08:45:00,2025/02/02 10:25:00,320,Aft_10121,87
Flt_37815,XGOB,VORI,2025/02/02 08:45:00,2025/02/02 10:40:00,320,Aft_10122,100
Flt_37816,UQLN,FFJA,2025/02/02 08:45:00,2025/02/02 10:55:00,320,Aft_10123,122
Flt_37817,SNFR,GRIG,2025/02/02 08:50:00,2025/02/02 12:15:00,320,Aft_10124,200
Flt_37818,UQLN,OSYY,2025/02/02 08:55:00,2025/02/02 10:55:00,320,Aft_10125,117
Flt_37819,XGOB,ZCUA,2025/02/02 09:00:00,2025/02/02 11:15:00,320,Aft_10126,128
Flt_37820,XGOB,UUKJ,2025/02/02 09:00:00,2025/02/02 12:10:00,321,Aft_10127,196
Flt_37821,GRIG,LXHP,2025/02/02 09:00:00,2025/02/02 11:50:00,320,Aft_10128,172
Flt_37822,XGOB,NQQU,2025/02/02 09:00:00,2025/02/02 11:35:00,319,Aft_10129,143
Flt_37823,VTIR,CEUN,2025/02/02 09:00:00,2025/02/02 11:55:00,320,Aft_10130,174
Flt_37824,UQLN,AIZY,2025/02/02 09:00:00,2025/02/02 11:35:00,319,Aft_10131,165
Flt_37825,XGOB,HEYQ,2025/02/02 09:05:00,2025/02/02 11:45:00,321,Aft_10132,142
Flt_37826,XGOB,CEUN,2025/02/02 09:05:00,2025/02/02 11:20:00,320,Aft_10133,125
