crewId,taskId,isDDH
Crew_10007,Flt_15553,0
Crew_10007,Flt_16240,0
Crew_10007,Flt_16482,0
Crew_10007,Flt_16581,0
Crew_10007,Flt_16834,0
Crew_10007,Flt_16961,0
Crew_10007,Flt_17133,0
Crew_10010,Flt_15539,0
Crew_10010,Flt_15663,0
Crew_10010,Flt_16391,0
Crew_10010,Flt_16611,0
Crew_10010,Flt_16973,0
Crew_10010,Flt_17107,0
Crew_10010,Flt_17287,0
Crew_10010,ddh_12456,1
Crew_10011,Flt_15632,0
Crew_10011,Flt_16153,0
Crew_10011,Flt_16269,0
Crew_10011,Flt_16373,0
Crew_10011,ddh_13174,1
Crew_10011,Flt_16869,0
Crew_10011,Flt_17004,0
Crew_10011,Flt_17185,0
Crew_10012,Flt_16814,0
Crew_10012,Flt_16926,0
Crew_10012,Flt_17056,0
Crew_10012,Flt_17158,0
Crew_10013,ddh_12783,1
Crew_10013,Flt_14181,0
Crew_10013,ddh_12505,1
Crew_10013,Flt_14721,0
Crew_10013,Flt_14817,0
Crew_10013,Flt_15345,0
Crew_10020,Flt_15584,0
Crew_10020,Flt_15685,0
Crew_10020,Flt_16324,0
Crew_10020,Flt_16512,0
Crew_10020,Flt_16658,0
Crew_10020,Flt_17008,0
Crew_10020,Flt_17083,0
Crew_10020,Flt_17168,0
Crew_10020,Flt_17256,0
Crew_10021,ddh_11415,1
Crew_10021,Flt_15595,0
Crew_10021,ddh_11461,1
Crew_10021,Flt_16294,0
Crew_10021,Flt_16443,0
Crew_10021,Flt_16665,0
Crew_10021,Flt_16932,0
Crew_10021,Flt_17037,0
Crew_10021,Flt_17183,0
Crew_10021,ddh_12627,1
Crew_10022,Flt_16068,0
Crew_10022,Flt_16385,0
Crew_10022,Flt_16518,0
Crew_10022,Flt_16623,0
Crew_10022,Flt_16914,0
Crew_10022,Flt_17172,0
Crew_10022,ddh_12204,1
Crew_10024,Flt_15633,0
Crew_10024,Flt_15732,0
Crew_10024,ddh_12048,1
Crew_10024,Flt_16188,0
Crew_10024,Flt_16280,0
Crew_10024,Flt_16375,0
Crew_10024,Flt_16481,0
Crew_10024,Flt_16939,0
Crew_10024,Flt_17022,0
Crew_10024,Flt_17123,0
Crew_10024,ddh_11588,1
Crew_10025,Flt_14420,0
Crew_10025,Flt_14504,0
Crew_10025,Flt_14668,0
Crew_10025,Flt_14755,0
Crew_10025,Flt_15069,0
Crew_10025,Flt_15201,0
Crew_10025,Flt_15297,0
Crew_10025,Flt_15599,0
Crew_10025,Flt_15745,0
Crew_10027,Flt_15613,0
Crew_10027,Flt_15698,0
Crew_10027,Flt_15864,0
Crew_10027,Flt_16378,0
Crew_10027,Flt_16582,0
Crew_10027,Flt_16681,0
Crew_10029,Flt_15528,0
Crew_10029,ddh_12345,1
Crew_10029,Flt_16222,0
Crew_10029,Flt_16343,0
Crew_10029,Flt_16563,0
Crew_10029,Flt_16883,0
Crew_10029,Flt_17101,0
Crew_10029,Flt_17207,0
Crew_10032,ddh_12414,1
Crew_10032,Flt_14439,0
Crew_10032,Flt_14606,0
Crew_10032,ddh_13180,1
Crew_10036,Flt_16717,0
Crew_10036,Flt_16863,0
Crew_10036,Flt_17038,0
Crew_10036,ddh_11588,1
Crew_10037,ddh_12786,1
Crew_10037,Flt_15971,0
Crew_10037,Flt_16322,0
Crew_10037,Flt_16499,0
Crew_10037,Flt_16627,0
Crew_10037,Flt_16887,0
Crew_10037,Flt_17054,0
Crew_10037,Flt_17189,0
Crew_10038,ddh_10976,1
Crew_10038,Flt_15624,0
Crew_10038,Flt_15749,0
Crew_10038,ddh_12435,1
Crew_10038,Flt_16225,0
Crew_10038,Flt_16362,0
Crew_10038,Flt_16536,0
Crew_10038,Flt_16958,0
Crew_10038,Flt_17190,0
Crew_10038,Flt_17277,0
Crew_10042,Flt_16096,0
Crew_10042,Flt_16414,0
Crew_10042,Flt_16506,0
Crew_10042,Flt_16604,0
Crew_10042,Flt_16695,0
Crew_10043,ddh_12090,1
Crew_10043,ddh_13217,1
Crew_10043,ddh_13181,1
Crew_10043,Flt_16160,0
Crew_10043,Flt_16301,0
Crew_10043,Flt_16535,0
Crew_10050,Flt_14993,0
Crew_10050,Flt_15329,0
Crew_10050,Flt_15609,0
Crew_10050,Flt_15757,0
Crew_10050,Flt_15908,0
Crew_10050,Flt_16731,0
Crew_10050,Flt_16872,0
Crew_10050,Flt_16979,0
Crew_10050,Flt_17111,0
Crew_10053,Flt_14908,0
Crew_10053,Flt_15040,0
Crew_10053,Flt_15935,0
Crew_10053,Flt_16062,0
Crew_10053,Flt_16473,0
Crew_10053,ddh_13201,1
Crew_10067,ddh_12948,1
Crew_10067,Flt_16064,0
Crew_10067,Flt_16102,0
Crew_10067,Flt_16399,0
Crew_10067,Flt_16526,0
Crew_10067,Flt_16700,0
Crew_10067,Flt_17089,0
Crew_10067,Flt_17251,0
Crew_10067,ddh_12924,1
Crew_10079,Flt_15844,0
Crew_10079,Flt_15993,0
Crew_10079,Flt_16278,0
Crew_10079,Flt_16537,0
Crew_10079,Flt_16648,0
Crew_10079,Flt_16874,0
Crew_10079,Flt_17007,0
Crew_10079,Flt_17175,0
Crew_10080,Flt_14985,0
Crew_10080,Flt_15109,0
Crew_10080,ddh_11429,1
Crew_10080,Flt_16242,0
Crew_10080,Flt_16439,0
Crew_10080,Flt_16576,0
Crew_10080,ddh_11762,1
Crew_10081,ddh_11415,1
Crew_10081,Flt_15583,0
Crew_10081,Flt_16277,0
