crewId,taskId,isDDH
Crew_10002,ddh_13240,1
Crew_10002,ddh_13179,1
Crew_10002,ddh_13617,1
Crew_10002,ddh_13600,1
Crew_10002,Flt_15502,0
Crew_10002,ddh_14114,1
Crew_10004,ddh_14174,1
Crew_10004,ddh_10795,1
Crew_10004,ddh_10276,1
Crew_10004,Flt_17614,0
Crew_10004,Flt_17612,0
Crew_10004,ddh_12477,1
Crew_10004,ddh_10458,1
Crew_10006,Flt_19010,0
Crew_10006,Flt_18438,0
Crew_10006,ddh_10319,1
Crew_10016,ddh_12036,1
Crew_10016,ddh_11376,1
Crew_10016,ddh_12237,1
Crew_10016,ddh_14306,1
Crew_10016,Flt_19714,0
Crew_10019,ddh_10766,1
Crew_10019,Flt_18912,0
Crew_10019,Flt_19649,0
Crew_10024,ddh_14212,1
Crew_10024,ddh_11056,1
Crew_10024,Flt_18314,0
Crew_10024,Flt_18313,0
Crew_10024,Flt_19293,0
Crew_10026,Flt_17430,0
Crew_10026,Flt_16912,0
Crew_10026,ddh_14251,1
Crew_10026,Flt_18465,0
Crew_10026,ddh_10318,1
Crew_10029,ddh_11496,1
Crew_10029,ddh_10796,1
Crew_10029,Flt_18494,0
Crew_10029,ddh_14310,1
Crew_10029,Flt_19252,0
Crew_10029,ddh_14375,1
Crew_10032,ddh_12855,1
Crew_10032,ddh_12695,1
Crew_10032,ddh_13734,1
Crew_10032,Flt_15422,0
Crew_10032,ddh_10544,1
Crew_10035,ddh_12235,1
Crew_10035,ddh_14157,1
Crew_10035,Flt_17818,0
Crew_10035,ddh_11747,1
Crew_10035,ddh_10247,1
Crew_10046,ddh_12550,1
Crew_10046,ddh_13466,1
Crew_10046,Flt_15642,0
Crew_10048,ddh_13703,1
Crew_10048,ddh_12312,1
Crew_10048,ddh_12013,1
Crew_10048,Flt_16024,0
Crew_10048,ddh_10834,1
Crew_10048,ddh_11745,1
Crew_10048,ddh_10245,1
Crew_10049,Flt_19165,0
Crew_10051,Flt_18093,0
Crew_10051,Flt_18739,0
Crew_10051,ddh_10868,1
Crew_10052,ddh_13159,1
Crew_10052,ddh_12742,1
Crew_10052,ddh_12013,1
Crew_10052,Flt_15844,0
Crew_10052,ddh_11044,1
Crew_10062,Flt_18933,0
Crew_10062,Flt_18930,0
Crew_10062,Flt_19366,0
Crew_10062,ddh_10319,1
Crew_10067,ddh_10277,1
Crew_10067,ddh_12477,1
Crew_10067,ddh_12318,1
Crew_10067,Flt_19308,0
Crew_10067,ddh_11249,1
Crew_10072,Flt_16028,0
Crew_10072,ddh_10834,1
Crew_10072,ddh_11745,1
Crew_10072,ddh_14157,1
Crew_10072,Flt_18212,0
Crew_10074,ddh_13214,1
Crew_10074,ddh_12962,1
Crew_10074,ddh_13717,1
Crew_10074,ddh_13635,1
Crew_10074,Flt_15408,0
Crew_10074,ddh_12484,1
Crew_10077,ddh_14272,1
Crew_10077,Flt_18378,0
Crew_10077,Flt_19053,0
Crew_10086,ddh_12550,1
Crew_10086,ddh_13472,1
Crew_10086,Flt_15891,0
Crew_10088,ddh_12757,1
Crew_10088,ddh_13149,1
Crew_10088,ddh_13665,1
Crew_10088,ddh_13325,1
Crew_10088,Flt_16021,0
Crew_10088,ddh_10614,1
Crew_10088,ddh_14139,1
Crew_10090,ddh_12751,1
Crew_10090,ddh_12874,1
Crew_10090,ddh_13453,1
Crew_10090,ddh_14018,1
Crew_10090,Flt_16839,0
Crew_10093,ddh_10345,1
Crew_10093,ddh_11246,1
Crew_10093,Flt_19651,0
Crew_10094,ddh_13614,1
Crew_10094,ddh_13484,1
Crew_10094,Flt_16037,0
