crewId,taskId,isDDH
Crew_10002,ddh_10568,1
Crew_10002,ddh_10464,1
Crew_10002,ddh_12736,1
Crew_10002,Flt_14348,0
Crew_10002,ddh_12946,1
Crew_10002,ddh_13072,1
Crew_10002,ddh_12253,1
Crew_10002,Flt_16117,0
Crew_10002,Flt_16266,0
Crew_10002,Flt_16446,0
Crew_10002,Flt_16719,0
Crew_10002,Flt_17397,0
Crew_10002,Flt_17500,0
Crew_10002,Flt_17652,0
Crew_10005,ddh_10305,1
Crew_10005,ddh_10227,1
Crew_10005,ddh_12934,1
Crew_10005,ddh_12394,1
Crew_10005,Flt_13744,0
Crew_10005,Flt_14047,0
Crew_10005,Flt_14457,0
Crew_10005,Flt_14688,0
Crew_10005,Flt_16110,0
Crew_10005,Flt_16314,0
Crew_10005,Flt_16440,0
Crew_10005,Flt_16789,0
Crew_10005,Flt_16916,0
Crew_10005,Flt_17042,0
Crew_10005,ddh_12716,1
Crew_10005,ddh_11987,1
Crew_10005,ddh_13140,1
Crew_10005,ddh_12114,1
Crew_10005,ddh_12690,1
Crew_10006,ddh_10358,1
Crew_10006,ddh_10379,1
Crew_10006,Flt_13943,0
Crew_10006,Flt_14102,0
Crew_10006,Flt_14222,0
Crew_10006,ddh_13000,1
Crew_10006,ddh_12244,1
Crew_10006,ddh_12460,1
Crew_10006,ddh_13108,1
Crew_10006,ddh_11803,1
Crew_10006,Flt_16317,0
Crew_10006,Flt_16503,0
Crew_10006,Flt_17234,0
Crew_10006,ddh_11588,1
Crew_10006,ddh_12492,1
Crew_10006,ddh_13131,1
Crew_10006,ddh_12276,1
Crew_10006,ddh_13149,1
Crew_10014,ddh_10573,1
Crew_10014,ddh_10442,1
Crew_10014,ddh_11935,1
Crew_10014,Flt_13825,0
Crew_10014,Flt_13983,0
Crew_10014,ddh_11838,1
Crew_10014,ddh_11354,1
Crew_10014,ddh_11414,1
Crew_10014,ddh_13019,1
Crew_10014,ddh_12551,1
Crew_10014,ddh_11661,1
Crew_10015,ddh_10613,1
Crew_10015,ddh_10516,1
Crew_10015,Flt_13908,0
Crew_10015,Flt_14084,0
Crew_10015,Flt_14183,0
Crew_10015,Flt_14645,0
Crew_10015,Flt_14790,0
Crew_10015,Flt_16260,0
Crew_10015,Flt_16460,0
Crew_10015,Flt_16556,0
Crew_10015,Flt_16837,0
Crew_10015,Flt_16964,0
Crew_10015,Flt_17322,0
Crew_10015,Flt_17491,0
Crew_10015,Flt_17620,0
Crew_10016,Flt_13755,0
Crew_10016,Flt_13941,0
Crew_10016,Flt_14756,0
Crew_10016,Flt_15089,0
Crew_10016,Flt_15183,0
Crew_10016,Flt_15338,0
Crew_10016,Flt_15704,0
Crew_10016,Flt_15821,0
Crew_10016,Flt_15940,0
Crew_10016,ddh_12372,1
Crew_10016,ddh_13273,1
Crew_10016,ddh_12571,1
Crew_10016,ddh_12184,1
Crew_10016,ddh_13175,1
Crew_10016,ddh_12131,1
Crew_10016,ddh_12996,1
Crew_10016,ddh_12582,1
Crew_10016,ddh_12942,1
Crew_10017,ddh_10098,1
Crew_10017,ddh_10183,1
Crew_10017,ddh_12844,1
Crew_10017,ddh_11980,1
Crew_10017,Flt_13760,0
Crew_10017,Flt_13906,0
Crew_10017,Flt_14020,0
Crew_10017,Flt_14113,0
Crew_10017,ddh_12252,1
Crew_10017,ddh_13179,1
Crew_10017,ddh_13288,1
Crew_10017,ddh_12685,1
Crew_10017,ddh_12262,1
Crew_10017,Flt_16119,0
Crew_10017,Flt_16218,0
Crew_10017,Flt_16393,0
Crew_10017,Flt_16488,0
Crew_10017,ddh_12643,1
Crew_10017,ddh_13292,1
Crew_10017,ddh_13004,1
Crew_10017,ddh_12248,1
Crew_10017,ddh_13184,1
Crew_10017,Flt_17535,0
Crew_10017,Flt_17654,0
Crew_10017,Flt_17755,0
Crew_10019,ddh_13267,1
Crew_10019,Flt_13753,0
Crew_10019,Flt_13898,0
Crew_10019,Flt_14017,0
Crew_10019,Flt_15792,0
Crew_10019,Flt_15945,0
Crew_10019,Flt_16081,0
Crew_10019,ddh_11482,1
Crew_10019,ddh_12166,1
Crew_10019,ddh_12355,1
Crew_10019,ddh_12139,1
Crew_10019,Flt_16786,0
Crew_10019,Flt_16877,0
Crew_10019,Flt_16967,0
Crew_10019,Flt_17070,0
Crew_10019,ddh_12392,1
Crew_10019,ddh_11996,1
Crew_10019,ddh_12672,1
Crew_10019,ddh_13068,1
Crew_10019,ddh_12303,1
Crew_10023,Flt_13751,0
Crew_10023,Flt_13903,0
Crew_10023,Flt_14109,0
Crew_10023,ddh_11982,1
Crew_10023,ddh_13207,1
Crew_10023,ddh_12343,1
Crew_10023,ddh_12937,1
Crew_10023,ddh_11983,1
Crew_10023,Flt_15147,0
Crew_10023,Flt_15271,0
