crewId,taskId,isDDH
Crew_10004,Flt_101479,0
Crew_10004,Flt_100271,1
Crew_10004,Flt_101804,0
Crew_10004,Flt_101239,0
Crew_10007,Flt_101997,1
Crew_10007,Flt_101975,0
Crew_10007,Flt_101511,0
Crew_10037,Flt_100465,0
Crew_10037,Flt_100879,0
Crew_10037,Flt_101503,0
Crew_10037,Flt_101750,1
Crew_10037,Flt_102323,0
Crew_10037,Flt_101326,1
Crew_10037,Flt_100686,0
Crew_10037,Flt_104616,1
Crew_10037,Flt_110032,0
Crew_10037,Flt_113712,0
Crew_10037,Flt_112264,1
Crew_10037,Flt_113672,0
Crew_10065,Flt_100872,0
Crew_10065,Flt_100658,0
Crew_10065,Flt_101736,0
Crew_10065,Flt_100916,0
Crew_10065,Flt_101320,1
Crew_10065,Flt_100202,0
Crew_10065,ddh_102250,1
Crew_10065,Flt_101121,0
Crew_10065,Flt_110054,1
Crew_10065,Flt_113287,0
Crew_10065,Flt_107616,1
Crew_10065,Flt_113725,0
Crew_10065,Flt_109437,1
Crew_10065,Flt_109786,0
Crew_10068,Flt_100252,1
Crew_10068,Flt_100406,0
Crew_10068,Flt_101377,0
Crew_10068,Flt_100621,0
Crew_10068,Flt_102028,0
Crew_10069,Flt_100145,0
Crew_10069,Flt_102197,0
Crew_10078,Flt_101493,0
Crew_10078,Flt_102050,0
Crew_10079,Flt_101986,0
Crew_10079,ddh_101379,1
Crew_10079,Flt_101651,0
Crew_10079,Flt_101657,1
Crew_10079,Flt_101149,0
Crew_10079,Flt_100972,1
Crew_10079,Flt_100397,0
Crew_10084,Flt_101461,1
Crew_10084,Flt_101796,0
Crew_10084,Flt_101065,1
Crew_10084,Flt_102024,0
Crew_10084,Flt_100928,1
Crew_10084,Flt_100661,0
Crew_10084,Flt_101409,1
Crew_10084,Flt_102411,0
Crew_10084,Flt_105472,0
Crew_10084,Flt_109423,0
Crew_10084,Flt_109782,0
Crew_10093,Flt_100594,1
Crew_10093,Flt_100377,0
Crew_10093,Flt_100345,0
Crew_10093,Flt_100483,0
