crewId,taskId,isDDH
Crew_10003,Flt_18621,0
Crew_10003,Flt_18616,0
Crew_10003,Flt_19385,0
Crew_10003,Flt_19380,0
Crew_10005,Flt_15787,0
Crew_10005,Flt_15783,0
Crew_10005,Flt_16473,0
Crew_10005,Flt_16470,0
Crew_10005,Flt_17222,0
Crew_10005,Flt_17218,0
Crew_10005,Flt_17867,0
Crew_10005,Flt_17864,0
Crew_10005,Flt_19805,0
Crew_10005,Flt_19804,0
Crew_10007,Flt_18641,0
Crew_10007,Flt_18637,0
Crew_10007,Flt_19370,0
Crew_10007,Flt_19366,0
Crew_10010,Flt_18731,0
Crew_10010,Flt_18803,0
Crew_10010,Flt_18800,0
Crew_10010,Flt_18796,0
Crew_10010,Flt_19543,0
Crew_10010,Flt_19538,0
Crew_10010,Flt_19536,0
Crew_10010,Flt_20224,0
Crew_10010,Flt_20218,0
Crew_10010,ddh_10459,1
Crew_10012,Flt_15505,0
Crew_10012,Flt_15621,0
Crew_10012,Flt_15648,0
Crew_10012,Flt_16162,0
Crew_10012,Flt_16161,0
Crew_10012,Flt_16854,0
Crew_10012,Flt_16852,0
Crew_10012,Flt_18060,0
Crew_10012,Flt_18054,0
Crew_10012,Flt_20242,0
Crew_10012,Flt_20247,0
Crew_10014,Flt_15615,0
Crew_10014,Flt_15610,0
Crew_10014,Flt_16158,0
Crew_10014,Flt_16157,0
Crew_10014,Flt_16984,0
Crew_10014,Flt_16979,0
Crew_10014,Flt_17918,0
Crew_10014,Flt_17915,0
Crew_10014,Flt_20115,0
Crew_10014,Flt_20111,0
Crew_10014,Flt_20152,0
Crew_10015,Flt_15409,0
Crew_10015,Flt_15408,0
Crew_10015,Flt_16265,0
Crew_10015,Flt_16253,0
Crew_10015,Flt_16993,0
Crew_10015,Flt_16991,0
Crew_10015,Flt_17971,0
Crew_10015,Flt_17944,0
Crew_10015,Flt_19916,0
Crew_10015,Flt_19913,0
Crew_10015,Flt_19846,0
Crew_10017,Flt_18051,0
Crew_10017,Flt_18048,0
Crew_10017,Flt_18837,0
Crew_10017,Flt_18843,0
Crew_10017,Flt_19103,0
Crew_10017,Flt_19121,0
Crew_10017,Flt_19873,0
Crew_10018,Flt_16245,0
Crew_10018,Flt_16235,0
Crew_10018,Flt_17881,0
Crew_10018,Flt_17906,0
Crew_10018,Flt_18694,0
Crew_10018,Flt_18718,0
Crew_10020,Flt_17289,0
Crew_10020,Flt_17295,0
Crew_10020,Flt_17294,0
Crew_10020,Flt_17142,0
Crew_10020,Flt_18112,0
Crew_10020,Flt_18111,0
Crew_10020,Flt_18985,0
Crew_10020,Flt_18982,0
Crew_10020,Flt_19721,0
Crew_10020,Flt_19717,0
Crew_10023,Flt_15695,0
Crew_10023,Flt_15692,0
Crew_10023,Flt_16758,0
Crew_10023,Flt_16756,0
Crew_10023,Flt_16755,0
Crew_10023,Flt_17483,0
Crew_10023,Flt_17477,0
Crew_10023,Flt_17475,0
Crew_10023,Flt_18207,0
Crew_10023,Flt_18205,0
Crew_10023,Flt_20350,0
Crew_10025,Flt_18639,0
Crew_10025,Flt_18662,0
Crew_10025,Flt_19573,0
Crew_10025,Flt_19566,0
Crew_10028,Flt_18805,0
Crew_10028,Flt_18778,0
Crew_10028,Flt_19252,0
Crew_10028,Flt_19694,0
Crew_10028,Flt_20316,0
Crew_10028,Flt_20315,0
Crew_10030,Flt_18775,0
Crew_10030,Flt_18771,0
Crew_10030,Flt_18827,0
Crew_10030,Flt_18825,0
Crew_10030,Flt_19284,0
Crew_10030,Flt_19248,0
Crew_10030,Flt_20173,0
Crew_10030,Flt_20171,0
Crew_10031,Flt_18685,0
Crew_10031,Flt_18679,0
Crew_10031,Flt_19266,0
Crew_10031,Flt_19461,0
Crew_10033,Flt_16143,0
Crew_10033,Flt_16504,0
Crew_10033,Flt_16503,0
Crew_10033,Flt_17185,0
Crew_10033,Flt_17182,0
Crew_10033,Flt_17680,0
Crew_10033,Flt_17706,0
Crew_10033,Flt_18625,0
Crew_10033,Flt_18622,0
Crew_10034,Flt_15754,0
Crew_10034,Flt_15742,0
Crew_10034,Flt_15740,0
Crew_10034,Flt_18301,0
Crew_10034,Flt_18960,0
Crew_10034,Flt_18955,0
Crew_10034,Flt_19374,0
Crew_10037,Flt_17669,0
Crew_10037,Flt_17649,0
Crew_10037,Flt_18426,0
Crew_10037,Flt_18422,0
Crew_10037,Flt_20363,0
Crew_10037,Flt_20380,0
Crew_10037,Flt_20377,0
Crew_10040,Flt_15404,0
Crew_10040,Flt_15405,0
Crew_10040,Flt_16496,0
Crew_10040,Flt_16492,0
Crew_10040,Flt_17284,0
Crew_10040,Flt_17280,0
Crew_10040,Flt_17890,0
Crew_10040,Flt_17885,0
Crew_10040,Flt_19780,0
Crew_10040,Flt_19777,0
Crew_10041,Flt_15570,0
Crew_10041,Flt_15564,0
Crew_10041,Flt_16145,0
Crew_10041,Flt_16146,0
Crew_10041,Flt_16947,0
Crew_10041,Flt_16943,0
Crew_10041,Flt_17768,0
Crew_10041,Flt_17758,0
Crew_10041,Flt_19833,0
Crew_10041,Flt_19832,0
Crew_10043,Flt_15736,0
Crew_10043,Flt_15732,0
Crew_10043,Flt_15575,0
Crew_10043,Flt_16293,0
Crew_10043,Flt_17146,0
Crew_10043,Flt_17285,0
Crew_10043,Flt_17302,0
Crew_10043,Flt_20381,0
Crew_10043,Flt_20281,0
Crew_10044,Flt_17260,0
Crew_10044,Flt_17257,0
Crew_10044,Flt_17283,0
Crew_10044,Flt_17279,0
Crew_10044,Flt_18447,0
Crew_10044,Flt_18444,0
Crew_10044,Flt_18531,0
Crew_10044,Flt_18528,0
Crew_10044,Flt_19412,0
Crew_10044,Flt_19410,0
Crew_10044,Flt_19408,0
Crew_10044,Flt_19407,0
Crew_10045,Flt_15659,0
Crew_10045,Flt_15658,0
Crew_10045,Flt_15654,0
Crew_10045,Flt_16386,0
Crew_10045,Flt_16382,0
Crew_10045,Flt_16380,0
Crew_10045,Flt_17815,0
Crew_10045,Flt_17811,0
