Crew ID,Base,Count of Non-Base Layover,Count of Invalid Layover
Crew_10518,XGOB,0,0
Crew_10126,XGOB,0,0
Crew_10585,UQLN,0,0
Crew_10824,XGOB,0,0
Crew_10430,UQLN,0,0
Crew_10559,XGOB,0,0
Crew_10666,SNFR,0,0
Crew_10543,XGOB,0,0
Crew_10275,XGOB,0,0
Crew_10146,XGOB,0,0
Crew_10435,XGOB,0,0
Crew_10664,XGOB,0,0
Crew_10695,XGOB,0,0
Crew_10353,XGOB,0,0
Crew_10436,XGOB,0,0
Crew_10233,XGOB,0,0
Crew_10116,XGOB,0,0
Crew_10312,XGOB,0,0
Crew_10345,XGOB,0,0
Crew_10770,UQLN,0,0
Crew_10340,UQLN,0,0
Crew_10408,XGOB,0,0
Crew_10013,XGOB,0,0
Crew_10133,UQLN,0,0
Crew_10499,XGOB,0,0
Crew_10249,WZBQ,0,0
Crew_10650,XGOB,0,0
Crew_10218,XGOB,0,0
Crew_10142,XGOB,0,0
Crew_10051,XGOB,0,0
Crew_10505,XGOB,0,0
Crew_10540,XGOB,0,0
Crew_10329,XGOB,0,0
Crew_10734,XGOB,0,0
Crew_10316,UQLN,0,0
Crew_10362,XGOB,0,0
Crew_10735,XGOB,0,0
Crew_10607,XGOB,0,0
Crew_10558,UQLN,0,0
Crew_10683,XGOB,0,0
Crew_10605,XGOB,0,0
Crew_10684,XGOB,0,0
Crew_10483,XGOB,0,0
Crew_10086,XGOB,0,0
Crew_10413,XGOB,0,0
Crew_10180,UQLN,0,0
Crew_10625,XGOB,0,0
Crew_10570,XGOB,0,0
Crew_10528,XGOB,0,0
Crew_10655,XGOB,0,0
Crew_10598,GRIG,0,0
Crew_10670,XGOB,0,0
Crew_10368,XGOB,0,0
Crew_10845,XGOB,0,0
Crew_10041,XGOB,0,0
Crew_10067,XGOB,0,0
Crew_10624,XGOB,0,0
Crew_10040,XGOB,0,0
Crew_10101,XGOB,0,0
Crew_10238,XGOB,0,0
Crew_10466,XGOB,0,0
Crew_10619,XGOB,0,0
Crew_10584,XGOB,0,0
Crew_10280,XGOB,0,0
Crew_10279,XGOB,0,0
Crew_10228,XGOB,0,0
Crew_10653,XGOB,0,0
Crew_10852,XGOB,0,0
Crew_10352,XGOB,0,0
Crew_10439,XGOB,0,0
Crew_10689,XGOB,0,0
Crew_10760,XGOB,0,0
Crew_10356,XGOB,0,0
Crew_10665,XGOB,0,0
Crew_10855,XGOB,0,0
Crew_10713,XGOB,0,0
Crew_10108,XGOB,0,0
Crew_10550,XGOB,0,0
Crew_10747,XGOB,0,0
Crew_10367,XGOB,0,0
Crew_10620,XGOB,0,0
Crew_10250,XGOB,0,0
Crew_10215,XGOB,0,0
Crew_10468,UQLN,0,0
Crew_10263,XGOB,0,0
Crew_10750,XGOB,0,0
Crew_10799,XGOB,0,0
Crew_10556,XGOB,0,0
Crew_10830,XGOB,0,0
Crew_10271,VTIR,0,0
Crew_10839,UQLN,0,0
Crew_10377,XGOB,0,0
Crew_10509,XGOB,0,0
Crew_10256,UQLN,0,0
Crew_10033,UQLN,0,0
Crew_10090,VBKF,0,0
Crew_10821,XGOB,0,0
Crew_10359,XGOB,0,0
Crew_10141,UQLN,0,0
Crew_10789,WZBQ,2,0
Crew_10387,SNFR,0,0
Crew_10117,UQLN,0,0
Crew_10479,XGOB,0,0
Crew_10588,XGOB,0,0
Crew_10586,XGOB,1,0
Crew_10153,VBKF,0,0
Crew_10014,XGOB,1,0
Crew_10065,UQLN,0,0
Crew_10427,UQLN,0,0
Crew_10737,XGOB,4,0
Crew_10818,XGOB,1,0
Crew_10173,XGOB,1,0
Crew_10403,XGOB,1,0
Crew_10341,VTIR,0,0
Crew_10337,UQLN,0,0
Crew_10870,SNFR,0,0
Crew_10115,VBKF,0,0
Crew_10336,XGOB,2,0
Crew_10626,SNFR,0,0
Crew_10410,XGOB,0,0
Crew_10015,XGOB,1,0
Crew_10545,UQLN,0,0
Crew_10315,WZBQ,0,0
Crew_10811,XGOB,1,0
Crew_10351,XGOB,1,0
Crew_10568,XGOB,1,0
Crew_10130,XGOB,1,0
Crew_10478,XGOB,0,0
Crew_10564,XGOB,1,0
Crew_10200,XGOB,1,0
Crew_10602,XGOB,1,0
Crew_10500,XGOB,1,0
Crew_10462,XGOB,1,0
Crew_10325,XGOB,0,0
Crew_10516,XGOB,0,0
Crew_10524,XGOB,1,0
Crew_10107,XGOB,1,0
Crew_10820,XGOB,1,0
Crew_10627,XGOB,0,0
Crew_10554,XGOB,1,0
Crew_10148,XGOB,1,0
Crew_10418,XGOB,1,0
Crew_10687,XGOB,1,0
Crew_10137,XGOB,1,0
Crew_10480,UQLN,0,0
Crew_10422,XGOB,0,0
Crew_10498,GRIG,0,0
Crew_10168,GRIG,0,0
Crew_10122,GRIG,0,0
Crew_10346,UQLN,0,0
Crew_10716,GRIG,0,0
Crew_10062,UQLN,0,0
Crew_10646,GRIG,0,0
Crew_10757,XGOB,0,0
Crew_10464,XGOB,0,0
Crew_10113,XGOB,1,0
Crew_10049,XGOB,0,0
Crew_10472,XGOB,1,0
Crew_10715,XGOB,1,0
Crew_10445,XGOB,1,0
Crew_10769,XGOB,1,0
Crew_10106,UQLN,0,0
Crew_10243,UQLN,0,0
Crew_10490,UQLN,0,0
Crew_10032,UQLN,1,0
Crew_10493,XGOB,0,0
Crew_10162,UQLN,1,0
Crew_10011,UQLN,1,0
Crew_10020,UQLN,2,0
Crew_10838,UQLN,1,0
Crew_10856,UQLN,1,0
Crew_10561,UQLN,1,0
Crew_10847,XGOB,0,0
Crew_10285,XGOB,0,0
Crew_10089,XGOB,1,0
Crew_10105,UQLN,0,0
Crew_10147,UQLN,1,0
Crew_10120,UQLN,2,1
Crew_10840,UQLN,1,0
Crew_10385,XGOB,1,0
Crew_10787,UQLN,0,0
Crew_10671,UQLN,1,0
Crew_10282,XGOB,1,0
Crew_10253,XGOB,1,0
Crew_10512,XGOB,0,0
Crew_10018,XGOB,1,0
Crew_10205,XGOB,1,0
Crew_10720,XGOB,1,0
Crew_10711,XGOB,1,0
Crew_10708,XGOB,1,0
Crew_10129,XGOB,1,1
Crew_10709,XGOB,1,0
Crew_10705,XGOB,1,0
Crew_10805,XGOB,1,0
Crew_10076,XGOB,1,0
Crew_10079,GRIG,0,0
Crew_10866,GRIG,0,0
Crew_10266,GRIG,0,0
Crew_10733,GRIG,0,0
Crew_10355,GRIG,0,0
Crew_10795,VBKF,1,0
Crew_10869,GRIG,0,0
Crew_10037,WZBQ,1,0
Crew_10390,GRIG,0,0
Crew_10491,GRIG,1,0
Crew_10189,GRIG,1,0
Crew_10681,GRIG,1,0
Crew_10649,GRIG,1,0
Crew_10612,UQLN,0,0
Crew_10024,XGOB,1,0
Crew_10453,XGOB,0,0
Crew_10019,GRIG,0,0
Crew_10307,XGOB,0,0
Crew_10535,GRIG,1,0
Crew_10854,GRIG,1,0
Crew_10145,GRIG,1,0
Crew_10871,SNFR,1,1
Crew_10791,XGOB,1,0
Crew_10395,SNFR,1,0
Crew_10400,XGOB,1,0
Crew_10110,UQLN,0,0
Crew_10318,GRIG,1,0
Crew_10358,XGOB,1,1
Crew_10768,XGOB,0,0
Crew_10642,UQLN,1,0
Crew_10455,XGOB,1,0
Crew_10531,XGOB,0,0
Crew_10221,GRIG,0,0
Crew_10739,GRIG,2,0
Crew_10578,GRIG,1,0
Crew_10193,GRIG,0,0
Crew_10123,GRIG,0,0
Crew_10448,GRIG,0,0
Crew_10031,XGOB,0,0
Crew_10634,SNFR,1,0
Crew_10071,VBKF,0,0
Crew_10380,XGOB,0,0
Crew_10172,XGOB,0,0
Crew_10622,XGOB,0,0
Crew_10755,GRIG,0,0
Crew_10496,XGOB,0,0
Crew_10158,VBKF,1,0
Crew_10045,GRIG,2,0
Crew_10091,WZBQ,2,0
Crew_10121,GRIG,2,0
Crew_10572,XGOB,0,0
Crew_10521,XGOB,0,0
Crew_10872,GRIG,1,0
Crew_10609,GRIG,3,0
Crew_10721,VBKF,1,0
Crew_10590,GRIG,2,0
Crew_10513,GRIG,1,0
Crew_10635,GRIG,2,0
Crew_10475,XGOB,0,0
Crew_10679,XGOB,0,0
Crew_10075,UQLN,1,0
Crew_10781,XGOB,0,0
Crew_10771,XGOB,0,0
Crew_10295,XGOB,0,0
Crew_10070,UQLN,1,0
Crew_10330,XGOB,0,0
Crew_10502,UQLN,1,0
Crew_10525,XGOB,0,0
Crew_10311,UQLN,1,0
Crew_10349,XGOB,0,0
Crew_10696,XGOB,0,0
Crew_10575,XGOB,0,0
Crew_10678,XGOB,0,0
Crew_10717,XGOB,0,0
Crew_10656,GRIG,2,0
Crew_10296,XGOB,0,0
Crew_10738,XGOB,0,0
Crew_10497,WZBQ,3,0
Crew_10179,XGOB,0,0
Crew_10186,XGOB,0,0
Crew_10176,GRIG,1,0
Crew_10536,XGOB,0,0
Crew_10177,UQLN,0,0
Crew_10867,SNFR,1,0
Crew_10192,UQLN,1,0
Crew_10807,XGOB,0,0
Crew_10657,UQLN,1,0
Crew_10078,GRIG,1,0
Crew_10850,GRIG,2,0
Crew_10682,UQLN,0,0
Crew_10611,GRIG,1,0
Crew_10526,XGOB,0,0
Crew_10790,UQLN,0,0
Crew_10056,XGOB,0,0
Crew_10547,XGOB,0,0
Crew_10300,XGOB,0,0
Crew_10589,XGOB,0,0
Crew_10461,XGOB,0,0
Crew_10865,XGOB,0,0
Crew_10002,MBMY,0,0
Crew_10623,UQLN,0,0
Crew_10338,XGOB,0,0
Crew_10514,XGOB,0,0
Crew_10324,UQLN,0,0
Crew_10736,GRIG,1,0
Crew_10485,UQLN,0,0
Crew_10484,GRIG,1,0
Crew_10160,XGOB,0,0
Crew_10152,UQLN,0,0
Crew_10096,GRIG,3,0
Crew_10072,XGOB,0,0
Crew_10469,GRIG,1,0
Crew_10061,GRIG,2,0
Crew_10007,UQLN,0,0
Crew_10628,UQLN,0,0
Crew_10726,UQLN,3,0
Crew_10060,GRIG,3,0
Crew_10154,UQLN,0,0
Crew_10669,XGOB,0,0
Crew_10278,XGOB,0,0
Crew_10849,XGOB,0,0
Crew_10093,XGOB,0,0
Crew_10023,GRIG,2,0
Crew_10443,XGOB,0,0
Crew_10293,XGOB,0,0
Crew_10539,XGOB,1,0
Crew_10303,UQLN,0,0
Crew_10835,XGOB,0,0
Crew_10286,XGOB,0,0
Crew_10501,XGOB,0,0
Crew_10538,XGOB,1,0
Crew_10600,UQLN,0,0
Crew_10597,VBKF,0,0
Crew_10645,XGOB,0,0
Crew_10094,UQLN,0,0
Crew_10633,XGOB,1,0
Crew_10416,XGOB,2,0
Crew_10025,XGOB,2,0
Crew_10773,UQLN,0,0
Crew_10138,UQLN,0,0
Crew_10573,UQLN,1,0
Crew_10723,XGOB,2,0
Crew_10381,UQLN,0,0
