crewId,taskId,isDDH
Crew_10411,Flt_14180,0
Crew_10411,Flt_14909,0
Crew_10411,Flt_14992,0
Crew_10411,Flt_16024,0
Crew_10411,Flt_17309,0
Crew_10411,Flt_17406,0
Crew_10411,Flt_17571,0
Crew_10412,Flt_14206,0
Crew_10412,Flt_14919,0
Crew_10412,Flt_16075,0
Crew_10412,Flt_17334,0
Crew_10414,Flt_14209,0
Crew_10414,Flt_15427,0
Crew_10414,Flt_15500,0
Crew_10414,Flt_17804,0
Crew_10420,Flt_14513,0
Crew_10420,Flt_14725,0
Crew_10420,Flt_15964,0
Crew_10420,Flt_16073,0
Crew_10420,Flt_16441,0
Crew_10420,Flt_16592,0
Crew_10423,Flt_14118,0
Crew_10423,Flt_14297,0
Crew_10423,Flt_15007,0
Crew_10423,Flt_16728,0
Crew_10423,Flt_17276,0
Crew_10425,Flt_14217,0
Crew_10425,Flt_14873,0
Crew_10425,Flt_15182,0
Crew_10425,Flt_15312,0
Crew_10425,Flt_16888,0
Crew_10425,Flt_16983,0
Crew_10425,Flt_17150,0
Crew_10425,Flt_17744,0
Crew_10426,Flt_14079,0
Crew_10426,Flt_14213,0
Crew_10426,Flt_14865,0
Crew_10426,Flt_14901,0
Crew_10426,Flt_15242,0
Crew_10426,Flt_15392,0
Crew_10426,Flt_16715,0
Crew_10426,Flt_17814,0
Crew_10428,Flt_14053,0
Crew_10428,Flt_14200,0
Crew_10428,Flt_14765,0
Crew_10428,Flt_14890,0
Crew_10428,Flt_15341,0
Crew_10428,Flt_16740,0
Crew_10428,Flt_17080,0
Crew_10428,Flt_17778,0
Crew_10431,Flt_14241,0
Crew_10431,Flt_14644,0
Crew_10431,Flt_14798,0
Crew_10431,Flt_15552,0
Crew_10431,Flt_17694,0
Crew_10432,Flt_14904,0
Crew_10432,Flt_15351,0
Crew_10432,Flt_16135,0
Crew_10432,Flt_16252,0
Crew_10434,Flt_14261,0
Crew_10434,Flt_14971,0
Crew_10434,Flt_15280,0
Crew_10434,Flt_17762,0
Crew_10437,Flt_14258,0
Crew_10437,Flt_14883,0
Crew_10437,Flt_14964,0
Crew_10437,Flt_16910,0
Crew_10437,Flt_17220,0
Crew_10437,Flt_17773,0
Crew_10438,Flt_14262,0
Crew_10438,Flt_15062,0
Crew_10438,Flt_15523,0
Crew_10438,Flt_15629,0
Crew_10438,Flt_17349,0
Crew_10438,Flt_17430,0
Crew_10438,Flt_17544,0
Crew_10438,Flt_17634,0
Crew_10440,Flt_14296,0
Crew_10440,Flt_15063,0
Crew_10440,Flt_16730,0
Crew_10440,Flt_16918,0
Crew_10440,Flt_17372,0
Crew_10441,Flt_14293,0
Crew_10441,Flt_14998,0
Crew_10441,Flt_15274,0
Crew_10441,Flt_15958,0
Crew_10441,Flt_17706,0
Crew_10442,Flt_14402,0
Crew_10442,Flt_15377,0
Crew_10442,Flt_15807,0
Crew_10442,Flt_16435,0
Crew_10443,Flt_14422,0
Crew_10443,Flt_14515,0
Crew_10443,Flt_14949,0
Crew_10443,Flt_16058,0
Crew_10443,Flt_16372,0
Crew_10443,Flt_16560,0
Crew_10444,Flt_15501,0
Crew_10444,Flt_15575,0
Crew_10444,Flt_16128,0
Crew_10444,Flt_16686,0
Crew_10444,Flt_17030,0
Crew_10444,Flt_17162,0
Crew_10445,Flt_14410,0
Crew_10445,Flt_15948,0
Crew_10445,Flt_16237,0
Crew_10445,Flt_16503,0
Crew_10448,Flt_13728,0
Crew_10448,Flt_13727,0
Crew_10448,Flt_14322,0
Crew_10448,Flt_14320,0
Crew_10448,Flt_15074,0
Crew_10448,Flt_16014,0
Crew_10448,Flt_17299,0
Crew_10448,Flt_17296,0
Crew_10450,Flt_13770,0
Crew_10450,Flt_16148,0
Crew_10450,Flt_16744,0
Crew_10450,Flt_16899,0
