crewId,taskId,isDDH
Crew_10764,ddh_12772,1
Crew_10658,ddh_12088,1
Crew_10750,ddh_12376,1
Crew_10509,ddh_10613,1
Crew_10476,ddh_10230,1
Crew_10636,ddh_10356,1
Crew_10529,ddh_12772,1
Crew_10626,ddh_12772,1
Crew_10758,ddh_10230,1
Crew_10453,ddh_10230,1
Crew_10792,ddh_10356,1
Crew_10735,ddh_10463,1
Crew_10717,ddh_10398,1
Crew_10530,ddh_12088,1
Crew_10596,ddh_12088,1
Crew_10777,ddh_12088,1
Crew_10449,ddh_13132,1
Crew_10479,ddh_10576,1
Crew_10433,ddh_10230,1
Crew_10784,ddh_13368,1
Crew_10722,ddh_10233,1
Crew_10785,ddh_12772,1
Crew_10799,ddh_10328,1
Crew_10697,ddh_10405,1
Crew_10524,ddh_10230,1
Crew_10499,ddh_10595,1
Crew_10518,ddh_12088,1
Crew_10631,ddh_12772,1
