crewId,taskId,isDDH
Crew_10007,ddh_12228,1
Crew_10007,ddh_11447,1
Crew_10007,Flt_16692,0
Crew_10007,Flt_16714,0
Crew_10007,Flt_17283,0
Crew_10007,ddh_11625,1
Crew_10010,ddh_12228,1
Crew_10010,Flt_16201,0
Crew_10010,Flt_16339,0
Crew_10010,ddh_12589,1
Crew_10010,Flt_17078,0
Crew_10010,Flt_17232,0
Crew_10010,ddh_12006,1
Crew_10011,ddh_11634,1
Crew_10011,Flt_16157,0
Crew_10011,Flt_16750,0
Crew_10011,Flt_16920,0
Crew_10012,Flt_16992,0
Crew_10012,Flt_17152,0
Crew_10013,ddh_13074,1
Crew_10013,Flt_16098,0
Crew_10013,Flt_16695,0
Crew_10013,ddh_13292,1
Crew_10020,ddh_12372,1
Crew_10020,Flt_16210,0
Crew_10020,ddh_11510,1
Crew_10020,Flt_16806,0
Crew_10020,Flt_16952,0
Crew_10020,ddh_11996,1
Crew_10021,ddh_11415,1
Crew_10021,ddh_11634,1
Crew_10021,Flt_16158,0
Crew_10021,Flt_16348,0
Crew_10021,Flt_17094,0
Crew_10021,Flt_17285,0
Crew_10021,ddh_13293,1
Crew_10022,ddh_11976,1
Crew_10022,ddh_12958,1
Crew_10022,Flt_16568,0
Crew_10022,Flt_16680,0
Crew_10022,Flt_17192,0
Crew_10022,ddh_12564,1
Crew_10024,Flt_16275,0
Crew_10024,Flt_17009,0
Crew_10024,Flt_17160,0
Crew_10025,ddh_13263,1
Crew_10025,Flt_16176,0
Crew_10025,ddh_12103,1
Crew_10025,Flt_16707,0
Crew_10025,Flt_16708,0
Crew_10027,ddh_11429,1
Crew_10027,Flt_16120,0
Crew_10027,Flt_16670,0
Crew_10029,Flt_16153,0
Crew_10029,ddh_13084,1
Crew_10029,Flt_16771,0
Crew_10029,Flt_17281,0
Crew_10029,ddh_12402,1
Crew_10032,ddh_13287,1
Crew_10032,ddh_11266,1
Crew_10032,Flt_14331,0
Crew_10032,ddh_13180,1
Crew_10036,Flt_16804,0
Crew_10036,Flt_17045,0
